Zeit in s;Spannung in V;1.5 V LR03 (AAA Alkali-Mangan)
1;1.506;
2;1.484;
3;1.481;
4;1.479;
5;1.478;
6;1.477;
7;1.476;
8;1.476;
9;1.475;
10;1.476;
11;1.475;
12;1.474;
13;1.473;
14;1.473;
15;1.473;
16;1.473;
17;1.473;
18;1.473;
19;1.472;
20;1.472;
21;1.472;
22;1.472;
23;1.471;
24;1.471;
25;1.47;
26;1.47;
27;1.47;
28;1.47;
29;1.47;
30;1.47;
31;1.469;
32;1.469;
33;1.468;
34;1.469;
35;1.468;
36;1.468;
37;1.467;
38;1.467;
39;1.466;
40;1.466;
41;1.466;
42;1.465;
43;1.465;
44;1.465;
45;1.465;
46;1.465;
47;1.465;
48;1.464;
49;1.465;
50;1.463;
51;1.463;
52;1.463;
53;1.463;
54;1.462;
55;1.463;
56;1.462;
57;1.461;
58;1.461;
59;1.461;
60;1.462;
61;1.461;
62;1.46;
63;1.46;
64;1.46;
65;1.459;
66;1.459;
67;1.459;
68;1.458;
69;1.459;
70;1.458;
71;1.457;
72;1.458;
73;1.457;
74;1.457;
75;1.457;
76;1.456;
77;1.455;
78;1.456;
79;1.456;
80;1.456;
81;1.455;
82;1.455;
83;1.455;
84;1.454;
85;1.454;
86;1.454;
87;1.455;
88;1.452;
89;1.453;
90;1.452;
91;1.452;
92;1.453;
93;1.452;
94;1.452;
95;1.452;
96;1.451;
97;1.451;
98;1.451;
99;1.451;
100;1.45;
101;1.45;
102;1.45;
103;1.449;
104;1.45;
105;1.449;
106;1.449;
107;1.449;
108;1.449;
109;1.449;
110;1.448;
111;1.448;
112;1.447;
113;1.448;
114;1.447;
115;1.446;
116;1.447;
117;1.446;
118;1.447;
119;1.446;
120;1.446;
121;1.445;
122;1.445;
123;1.445;
124;1.445;
125;1.444;
126;1.445;
127;1.444;
128;1.444;
129;1.443;
130;1.444;
131;1.443;
132;1.442;
133;1.443;
134;1.442;
135;1.442;
136;1.442;
137;1.442;
138;1.441;
139;1.442;
140;1.442;
141;1.441;
142;1.441;
143;1.44;
144;1.44;
145;1.44;
146;1.44;
147;1.439;
148;1.439;
149;1.439;
150;1.439;
151;1.439;
152;1.438;
153;1.438;
154;1.438;
155;1.438;
156;1.438;
157;1.437;
158;1.438;
159;1.437;
160;1.437;
161;1.437;
162;1.436;
163;1.436;
164;1.436;
165;1.436;
166;1.435;
167;1.435;
168;1.435;
169;1.435;
170;1.435;
171;1.435;
172;1.435;
173;1.434;
174;1.434;
175;1.434;
176;1.433;
177;1.434;
178;1.434;
179;1.433;
180;1.432;
181;1.433;
182;1.433;
183;1.432;
184;1.432;
185;1.432;
186;1.431;
187;1.432;
188;1.431;
189;1.431;
190;1.431;
191;1.431;
192;1.43;
193;1.43;
194;1.43;
195;1.429;
196;1.429;
197;1.429;
198;1.429;
199;1.429;
200;1.429;
201;1.429;
202;1.429;
203;1.428;
204;1.428;
205;1.428;
206;1.428;
207;1.428;
208;1.427;
209;1.427;
210;1.427;
211;1.426;
212;1.427;
213;1.427;
214;1.426;
215;1.426;
216;1.426;
217;1.426;
218;1.426;
219;1.426;
220;1.426;
221;1.425;
222;1.425;
223;1.425;
224;1.425;
225;1.424;
226;1.424;
227;1.424;
228;1.424;
229;1.424;
230;1.424;
231;1.423;
232;1.423;
233;1.423;
234;1.423;
235;1.423;
236;1.422;
237;1.423;
238;1.423;
239;1.422;
240;1.421;
241;1.421;
242;1.422;
243;1.421;
244;1.421;
245;1.421;
246;1.421;
247;1.421;
248;1.421;
249;1.42;
250;1.421;
251;1.42;
252;1.42;
253;1.42;
254;1.419;
255;1.42;
256;1.42;
257;1.419;
258;1.419;
259;1.418;
260;1.418;
261;1.418;
262;1.418;
263;1.419;
264;1.418;
265;1.418;
266;1.418;
267;1.418;
268;1.417;
269;1.417;
270;1.417;
271;1.417;
272;1.416;
273;1.416;
274;1.416;
275;1.416;
276;1.416;
277;1.415;
278;1.415;
279;1.415;
280;1.415;
281;1.415;
282;1.415;
283;1.415;
284;1.416;
285;1.414;
286;1.414;
287;1.414;
288;1.414;
289;1.413;
290;1.414;
291;1.414;
292;1.413;
293;1.413;
294;1.413;
295;1.413;
296;1.412;
297;1.412;
298;1.412;
299;1.412;
300;1.411;
301;1.412;
302;1.411;
303;1.412;
304;1.411;
305;1.41;
306;1.41;
307;1.411;
308;1.41;
309;1.41;
310;1.41;
311;1.41;
312;1.41;
313;1.41;
314;1.41;
315;1.41;
316;1.41;
317;1.409;
318;1.41;
319;1.409;
320;1.409;
321;1.409;
322;1.409;
323;1.409;
324;1.408;
325;1.409;
326;1.408;
327;1.409;
328;1.409;
329;1.408;
330;1.407;
331;1.407;
332;1.407;
333;1.408;
334;1.407;
335;1.407;
336;1.407;
337;1.407;
338;1.406;
339;1.407;
340;1.406;
341;1.406;
342;1.406;
343;1.406;
344;1.406;
345;1.405;
346;1.406;
347;1.405;
348;1.405;
349;1.405;
350;1.405;
351;1.405;
352;1.404;
353;1.405;
354;1.404;
355;1.403;
356;1.404;
357;1.404;
358;1.404;
359;1.404;
360;1.403;
361;1.403;
362;1.403;
363;1.403;
364;1.403;
365;1.403;
366;1.402;
367;1.403;
368;1.403;
369;1.402;
370;1.402;
371;1.402;
372;1.402;
373;1.402;
374;1.401;
375;1.401;
376;1.401;
377;1.4;
378;1.401;
379;1.401;
380;1.401;
381;1.4;
382;1.4;
383;1.4;
384;1.4;
385;1.4;
386;1.4;
387;1.4;
388;1.4;
389;1.399;
390;1.4;
391;1.4;
392;1.399;
393;1.399;
394;1.399;
395;1.399;
396;1.398;
397;1.398;
398;1.398;
399;1.398;
400;1.398;
401;1.398;
402;1.398;
403;1.397;
404;1.397;
405;1.397;
406;1.397;
407;1.397;
408;1.397;
409;1.397;
410;1.397;
411;1.397;
412;1.397;
413;1.396;
414;1.396;
415;1.397;
416;1.396;
417;1.396;
418;1.395;
419;1.396;
420;1.396;
421;1.396;
422;1.396;
423;1.395;
424;1.395;
425;1.396;
426;1.395;
427;1.395;
428;1.394;
429;1.395;
430;1.394;
431;1.394;
432;1.394;
433;1.394;
434;1.394;
435;1.393;
436;1.393;
437;1.393;
438;1.393;
439;1.393;
440;1.393;
441;1.393;
442;1.393;
443;1.393;
444;1.393;
445;1.392;
446;1.392;
447;1.392;
448;1.392;
449;1.391;
450;1.392;
451;1.392;
452;1.391;
453;1.39;
454;1.392;
455;1.391;
456;1.391;
457;1.39;
458;1.39;
459;1.39;
460;1.39;
461;1.391;
462;1.39;
463;1.39;
464;1.39;
465;1.39;
466;1.389;
467;1.39;
468;1.389;
469;1.39;
470;1.39;
471;1.39;
472;1.389;
473;1.389;
474;1.389;
475;1.388;
476;1.389;
477;1.389;
478;1.389;
479;1.388;
480;1.389;
481;1.388;
482;1.388;
483;1.388;
484;1.387;
485;1.388;
486;1.387;
487;1.387;
488;1.387;
489;1.386;
490;1.387;
491;1.387;
492;1.387;
493;1.387;
494;1.386;
495;1.386;
496;1.386;
497;1.386;
498;1.387;
499;1.386;
500;1.385;
501;1.385;
502;1.385;
503;1.385;
504;1.385;
505;1.385;
506;1.385;
507;1.385;
508;1.385;
509;1.384;
510;1.385;
511;1.385;
512;1.384;
513;1.384;
514;1.384;
515;1.384;
516;1.384;
517;1.384;
518;1.384;
519;1.384;
520;1.384;
521;1.383;
522;1.384;
523;1.383;
524;1.383;
525;1.383;
526;1.383;
527;1.383;
528;1.383;
529;1.383;
530;1.383;
531;1.382;
532;1.382;
533;1.382;
534;1.382;
535;1.382;
536;1.382;
537;1.382;
538;1.382;
539;1.381;
540;1.382;
541;1.382;
542;1.381;
543;1.38;
544;1.381;
545;1.381;
546;1.382;
547;1.38;
548;1.381;
549;1.381;
550;1.38;
551;1.381;
552;1.38;
553;1.38;
554;1.381;
555;1.38;
556;1.381;
557;1.38;
558;1.379;
559;1.379;
560;1.378;
561;1.379;
562;1.378;
563;1.379;
564;1.379;
565;1.379;
566;1.379;
567;1.378;
568;1.378;
569;1.378;
570;1.379;
571;1.378;
572;1.378;
573;1.378;
574;1.378;
575;1.378;
576;1.377;
577;1.378;
578;1.377;
579;1.378;
580;1.378;
581;1.377;
582;1.377;
583;1.377;
584;1.376;
585;1.377;
586;1.376;
587;1.377;
588;1.376;
589;1.376;
590;1.376;
591;1.376;
592;1.376;
593;1.376;
594;1.376;
595;1.376;
596;1.376;
597;1.375;
598;1.375;
599;1.375;
600;1.375;
601;1.374;
602;1.374;
603;1.375;
604;1.375;
605;1.374;
606;1.374;
607;1.374;
608;1.374;
609;1.374;
610;1.374;
611;1.374;
612;1.374;
613;1.374;
614;1.374;
615;1.373;
616;1.374;
617;1.373;
618;1.373;
619;1.373;
620;1.373;
621;1.372;
622;1.373;
623;1.373;
624;1.372;
625;1.372;
626;1.373;
627;1.372;
628;1.372;
629;1.372;
630;1.371;
631;1.372;
632;1.372;
633;1.371;
634;1.372;
635;1.371;
636;1.371;
637;1.371;
638;1.371;
639;1.371;
640;1.372;
641;1.371;
642;1.371;
643;1.371;
644;1.37;
645;1.371;
646;1.37;
647;1.371;
